comparison,median_delta,mean_delta,ci_lo,ci_hi,positive_frac,negative_frac,zero_frac,seeds,workload,n,noise
SINGLE_BLOCK_minus_OFF,1.0,0.95,0.0,1.0,0.575,0.0,0.425,80,W12_12q,12,MIX_kick_std
PAIR_BLOCK_minus_OFF,7.0,6.5875,7.0,7.0,0.9625,0.0,0.0375,80,W12_12q,12,MIX_kick_std
PAIR_BLOCK_minus_SINGLE_BLOCK,6.0,5.6375,5.0,7.0,0.95,0.0,0.05,80,W12_12q,12,MIX_kick_std
SINGLE_BLOCK_minus_OFF,0.0,-0.125,0.0,0.0,0.0,0.1,0.9,80,W12_12q,12,ZZcorr_kick_mid
PAIR_BLOCK_minus_OFF,1.5,2.3375,1.0,2.0,0.7875,0.0125,0.2,80,W12_12q,12,ZZcorr_kick_mid
PAIR_BLOCK_minus_SINGLE_BLOCK,2.0,2.4625,1.0,2.0,0.8125,0.0,0.1875,80,W12_12q,12,ZZcorr_kick_mid
SINGLE_BLOCK_minus_OFF,1.0,0.975,0.0,1.0,0.525,0.0125,0.4625,80,W12_12q,12,Z_kick_mid
PAIR_BLOCK_minus_OFF,9.0,8.6875,9.0,9.5,0.975,0.0,0.025,80,W12_12q,12,Z_kick_mid
PAIR_BLOCK_minus_SINGLE_BLOCK,9.0,7.7125,8.0,9.0,0.925,0.0125,0.0625,80,W12_12q,12,Z_kick_mid
SINGLE_BLOCK_minus_OFF,1.0,1.2,0.0,1.0,0.5125,0.075,0.4125,80,W6_6q,6,MIX_kick_std
PAIR_BLOCK_minus_OFF,5.0,4.35,4.0,5.5,0.8,0.0625,0.1375,80,W6_6q,6,MIX_kick_std
PAIR_BLOCK_minus_SINGLE_BLOCK,3.0,3.15,2.0,4.0,0.725,0.0125,0.2625,80,W6_6q,6,MIX_kick_std
SINGLE_BLOCK_minus_OFF,0.0,-0.2625,0.0,0.0,0.0,0.1125,0.8875,80,W6_6q,6,ZZcorr_kick_mid
PAIR_BLOCK_minus_OFF,3.0,2.9125,1.0,4.0,0.7125,0.0625,0.225,80,W6_6q,6,ZZcorr_kick_mid
PAIR_BLOCK_minus_SINGLE_BLOCK,3.0,3.175,1.0,4.0,0.7625,0.0,0.2375,80,W6_6q,6,ZZcorr_kick_mid
SINGLE_BLOCK_minus_OFF,2.5,3.4,2.0,3.5,0.725,0.05,0.225,80,W6_6q,6,Z_kick_mid
PAIR_BLOCK_minus_OFF,9.0,8.225,8.0,9.0,0.975,0.025,0.0,80,W6_6q,6,Z_kick_mid
PAIR_BLOCK_minus_SINGLE_BLOCK,5.0,4.825,3.5,7.0,0.7875,0.075,0.1375,80,W6_6q,6,Z_kick_mid
